Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DameHeight,YearComissioned,Retrofit,lon,lat,projectID,YearDecommissioning
Bio 149,Bioenergy,OCGT,CHP,DE,0.255,,,,,29.07.1996,,12.10300887,48.65998515,{'JRC': ['00000']},
Bio 150,Bioenergy,OCGT,CHP,DE,0.1,,,,,31.07.1996,,8.205102956,48.98032692,{'JRC': ['00000']},
Bio 151,Bioenergy,OCGT,CHP,DE,0.022,,,,,08.08.1996,,9.80607283,53.12099909,{'JRC': ['00000']},
Bio 152,Bioenergy,OCGT,CHP,DE,0.48,,,,,08.08.1996,,12.29569007,49.29757169,{'JRC': ['00000']},
Bio 153,Bioenergy,OCGT,CHP,DE,0.37,,,,,05.09.1996,,8.638352689,52.46990384,{'JRC': ['00000']},
Bio 154,Bioenergy,OCGT,CHP,DE,0.25,,,,,05.09.1996,,8.638352689,52.46990384,{'JRC': ['00000']},
Bio 155,Bioenergy,OCGT,CHP,DE,0.05,,,,,09.10.1996,,8.173292604,52.03909017,{'JRC': ['00000']},
Bio 156,Bioenergy,OCGT,CHP,DE,0.24,,,,,16.10.1996,,12.39392679,48.07798555,{'JRC': ['00000']},
Bio 157,Bioenergy,OCGT,CHP,DE,0.075,,,,,22.10.1996,,9.994202639,51.7098655,{'JRC': ['00000']},
Bio 158,Bioenergy,OCGT,CHP,DE,0.08,,,,,30.10.1996,,7.190129116,50.60115866,{'JRC': ['00000']},
Bio 159,Bioenergy,OCGT,CHP,DE,0.06,,,,,01.11.1996,,11.14691822,47.84495637,{'JRC': ['00000']},
Bio 160,Bioenergy,OCGT,CHP,DE,1.826,,,,,12.11.1996,,7.355586645,51.02161208,{'JRC': ['00000']},
Bio 161,Bioenergy,OCGT,CHP,DE,1.564,,,,,12.11.1996,,7.355586645,51.02161208,{'JRC': ['00000']},
Bio 162,Bioenergy,OCGT,CHP,DE,0.167,,,,,22.11.1996,,12.23163588,50.50601081,{'JRC': ['00000']},
